symmetric,input_dim,latent_dim,target_ratio,ratio,hidden_layers,seed,mse_mean,mse_std,mse_p95,mae_mean,mae_std
True,128,32,4,4.0,2,39,1.7476705,2.3697126,5.895985221862793,0.97379255,0.5993009
False,128,32,4,4.0,2,39,3.4382324,6.871922,11.552534103393548,1.3246064,0.99080694
True,128,32,4,4.0,2,40,1.3944578,2.306148,3.948700141906734,0.8697255,0.5297437
False,128,32,4,4.0,2,40,3.3801715,11.014641,10.065587615966782,1.2159278,1.0977578
True,128,32,4,4.0,2,41,2.1819518,3.9781964,6.111245346069334,1.0713211,0.7345645
False,128,32,4,4.0,2,41,2.1406617,3.9756765,6.068794059753413,1.0418097,0.74558014
True,128,32,4,4.0,2,42,3.772426,5.7214503,10.741013717651366,1.4225816,0.93469226
False,128,32,4,4.0,2,42,3.3638487,5.6025043,10.716286849975582,1.3289688,0.9190502
True,128,32,4,4.0,2,43,2.4886937,5.317838,7.897280693054193,1.1009835,0.85682714
False,128,32,4,4.0,2,43,3.7314167,10.384011,17.202950859069748,1.2801868,1.1383548
True,128,32,4,4.0,2,44,1.5035222,2.1617699,5.143952751159662,0.8913248,0.56071043
False,128,32,4,4.0,2,44,2.7752252,3.412268,8.997211074829101,1.2220697,0.7445639
True,128,32,4,4.0,2,45,1.557503,2.203489,5.356037139892576,0.90098184,0.5774863
False,128,32,4,4.0,2,45,1.8624393,3.5049314,5.109303951263421,0.9948111,0.62905073
True,128,32,4,4.0,2,46,1.6133723,3.3578742,4.632587528228759,0.8938174,0.62812346
False,128,32,4,4.0,2,46,2.5513198,5.0375066,9.665504837036124,1.1326936,0.82308364
True,128,32,4,4.0,2,47,1.5686922,2.728236,5.013575553894042,0.89276373,0.61064565
False,128,32,4,4.0,2,47,1.7637138,2.5746856,5.037148571014403,0.9913449,0.62239
True,128,32,4,4.0,2,48,1.7560701,2.791458,5.692298984527581,0.9585979,0.6326484
False,128,32,4,4.0,2,48,2.7659047,5.135077,9.58095130920409,1.1893198,0.8416601
True,128,32,4,4.0,2,49,1.5443714,2.581174,5.486256027221672,0.8973254,0.61091024
False,128,32,4,4.0,2,49,2.7979867,3.8730135,9.195018386840816,1.2266991,0.8269835
True,128,16,8,8.0,2,0,3.6916656,4.342227,11.731266021728512,1.4595209,0.8746743
False,128,16,8,8.0,2,0,6.1330323,10.07931,28.728054809570256,1.780662,1.3192539
True,128,16,8,8.0,2,1,3.5345953,4.4655986,11.779175186157214,1.4205096,0.87937135
False,128,16,8,8.0,2,1,3.9063113,5.3794956,12.384478759765614,1.4719783,0.94937366
True,128,16,8,8.0,2,2,4.0607457,5.827519,16.290505027770944,1.492105,1.0003583
False,128,16,8,8.0,2,2,4.134298,5.2164683,13.946069908142086,1.5342013,0.96498764
True,128,16,8,8.0,2,3,4.3558745,7.20625,14.32385902404782,1.5392905,1.0725174
False,128,16,8,8.0,2,3,4.527987,6.5446434,14.917814636230464,1.5554878,1.0670909
True,128,16,8,8.0,2,4,4.4156103,8.384339,12.647179222106928,1.5129322,1.0688666
False,128,16,8,8.0,2,4,4.105703,5.373643,13.082580184936505,1.5366416,0.9441791
True,128,16,8,8.0,2,5,3.3292663,3.5377626,11.61506118774414,1.4176534,0.7869573
False,128,16,8,8.0,2,5,5.2404633,6.2655087,20.761554336547814,1.7465502,1.1110758
True,128,16,8,8.0,2,6,3.5155582,4.140022,9.179513931274414,1.4318242,0.8427009
False,128,16,8,8.0,2,6,3.923102,5.5731783,12.603962898254375,1.4797843,0.95624137
True,128,16,8,8.0,2,7,3.7499034,5.4332047,12.71210269927978,1.4421074,0.9648028
False,128,16,8,8.0,2,7,3.2318907,5.105148,9.779371833801266,1.3301982,0.87593377
True,128,16,8,8.0,2,8,3.9341404,7.2644577,13.409527778625447,1.4422786,1.0398136
False,128,16,8,8.0,2,8,4.574985,6.6145806,13.961974906921375,1.5947385,1.0543594
True,128,16,8,8.0,2,9,7.5431056,19.177242,19.578873443603516,1.9512285,1.5271214
False,128,16,8,8.0,2,9,4.4330387,6.3619313,13.098539161682123,1.5697407,1.0308237
True,128,16,8,8.0,2,10,4.266292,5.2415977,13.821730613708493,1.562738,0.9284866
False,128,16,8,8.0,2,10,5.0893354,7.353597,16.344533538818357,1.6732786,1.1079754
True,128,16,8,8.0,2,11,5.405706,9.284319,15.495631599426266,1.6799957,1.232612
False,128,16,8,8.0,2,11,4.135297,5.340936,16.766823577880842,1.5239695,0.99530184
True,128,16,8,8.0,2,12,4.9066267,8.761918,15.78031482696533,1.591846,1.1967436
False,128,16,8,8.0,2,12,4.2562947,5.8915424,13.56367950439453,1.5534954,0.98537505
True,128,16,8,8.0,2,13,4.1517,7.5271773,15.001603507995595,1.4999517,1.0500959
False,128,16,8,8.0,2,13,7.2034216,14.436702,23.347440719604478,1.9218297,1.4340191
True,128,16,8,8.0,2,14,3.3963754,4.5033793,12.641683197021479,1.364354,0.8817972
False,128,16,8,8.0,2,14,5.776904,11.0202055,18.097422790527318,1.7183592,1.2710606
True,128,16,8,8.0,2,15,3.6147926,5.0472236,12.697141075134278,1.432585,0.9088893
False,128,16,8,8.0,2,15,5.6684093,8.681855,19.349687957763653,1.7394003,1.203028
True,128,16,8,8.0,2,16,4.35517,5.4057894,14.411554336547841,1.5655265,1.0057262
False,128,16,8,8.0,2,16,4.6764326,5.909172,16.894128036499016,1.6251438,1.0418468
True,128,16,8,8.0,2,17,5.826552,11.916383,17.496832275390613,1.7503792,1.2484545
False,128,16,8,8.0,2,17,3.8955865,4.8728027,13.87786254882812,1.4864209,0.91866904
True,128,16,8,8.0,2,18,5.4974985,9.813996,22.333549118041965,1.6736066,1.2821634
False,128,16,8,8.0,2,18,5.580394,9.14089,21.175934982299786,1.717186,1.2220182
True,128,16,8,8.0,2,19,5.880275,13.271634,18.666250610351515,1.7045559,1.3757771
False,128,16,8,8.0,2,19,4.874065,7.1702995,15.79735946655272,1.635287,1.0882361
True,128,16,8,8.0,2,20,6.817621,11.281898,19.820568847656233,1.9498446,1.3026773
False,128,16,8,8.0,2,20,6.5096407,11.407671,21.019051361083978,1.8621981,1.2975909
True,128,16,8,8.0,2,21,4.370033,5.1985855,14.701787567138664,1.6003562,0.9646796
False,128,16,8,8.0,2,21,5.1490936,7.1909385,17.5444709777832,1.6916239,1.1169461
True,128,16,8,8.0,2,22,4.2405186,8.470207,16.221976852416983,1.4613682,1.1481433
False,128,16,8,8.0,2,22,5.841619,9.366902,17.3362983703613,1.7749401,1.2432865
True,128,16,8,8.0,2,23,5.115722,5.854602,16.319182968139607,1.7440999,1.0330642
False,128,16,8,8.0,2,23,4.4267673,5.6253486,16.905781936645504,1.5860418,1.0079647
True,128,16,8,8.0,2,24,4.1957626,6.27539,16.16260242462157,1.5114837,1.0529789
False,128,16,8,8.0,2,24,4.6206956,6.758914,15.274809074401844,1.5817955,1.092446
True,128,16,8,8.0,2,25,6.1543145,11.02713,20.651015472412066,1.8354458,1.2857566
False,128,16,8,8.0,2,25,5.3645687,9.709025,19.51102867126461,1.6854321,1.1869698
True,128,16,8,8.0,2,26,3.9267066,4.9559884,12.042996406555174,1.4978617,0.9289078
False,128,16,8,8.0,2,26,3.9389677,5.3054066,13.646846961975083,1.4949377,0.9601659
True,128,16,8,8.0,2,27,3.9729068,6.9822564,14.253394317626945,1.4636412,1.0165602
False,128,16,8,8.0,2,27,4.836919,8.627518,13.45391273498534,1.5921214,1.1361399
True,128,16,8,8.0,2,28,4.3133297,6.8772335,15.322043800353999,1.5181719,1.0940411
False,128,16,8,8.0,2,28,4.045991,5.2296953,13.734958839416496,1.5309013,0.95209825
