symmetric,encoder_macs,decoder_macs,encoder_params,decoder_params,input_dim,latent_dim,ratio,hidden_layers,seed,mse_mean,mse_std,mse_p95,mae_mean,mae_std
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,23,1.6799291,10.765147,3.596427822113029,0.73369277,0.83229053
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,24,2.1359074,17.909845,4.104979133605954,0.7740825,0.99150336
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,24,2.1766906,16.600513,3.94078037738799,0.80672103,0.9568332
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,25,2.091123,18.031933,3.5033070802688586,0.7706152,0.9650206
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,25,1.7518488,12.199141,3.194113469123836,0.73576456,0.8439388
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,26,1.9151559,15.415103,3.8499038934707626,0.7427817,0.91859794
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,26,4.567756,41.827778,6.5697690486907945,1.071967,1.4682454
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,27,1.5876389,11.2490015,3.1211953401565546,0.70491314,0.7782208
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,27,3.1391037,27.203394,5.644084596633911,0.88540965,1.2152474
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,28,2.7682178,28.564936,3.212496042251587,0.7499033,1.2027155
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,28,2.1036646,14.383014,4.271753883361815,0.86973315,0.89301866
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,29,3.3711154,33.368046,4.696428918838498,0.8867657,1.2865973
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,29,2.1479237,10.612909,4.879524755477905,0.8787301,0.9047008
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,30,2.8482442,26.745726,4.18671548366546,0.8621204,1.1642059
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,30,3.9863045,34.919014,7.354469585418701,1.0132635,1.3591764
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,31,1.5305215,10.978373,2.965332078933713,0.6895948,0.77166086
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,31,3.4130108,32.252556,5.817123508453362,0.9100522,1.2742481
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,32,1.6554629,12.36613,2.6506562948226917,0.72115135,0.82250434
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,32,1.8153203,12.037923,3.836768507957454,0.7702735,0.83971083
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,33,2.8094006,16.392786,6.539668083190917,1.0295905,0.9958599
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,33,1.9571352,15.708217,3.4728092670440636,0.7562234,0.90178406
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,34,3.275459,32.71692,4.195275115966792,0.8612529,1.2601199
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,34,1.7050642,12.090437,3.859884142875668,0.747017,0.8173739
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,35,2.072649,17.401777,3.549746680259704,0.7583729,0.94581366
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,35,2.213576,18.272408,4.375861978530877,0.79095143,0.97152376
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,36,2.695612,27.41377,3.4314831018447873,0.7638007,1.1661729
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,36,2.1599238,13.622373,4.60198655128479,0.8244536,0.9233314
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,37,1.982556,13.319921,5.164957523345946,0.82791823,0.89185685
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,37,1.4549958,7.7482,3.1744204998016285,0.71223456,0.7181499
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,38,2.6181056,26.586437,3.50307204723358,0.7550767,1.1282777
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,38,4.1190944,33.67759,7.1971787929534905,1.087922,1.3644557
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,39,1.8260169,12.0819645,4.061130928993221,0.74489605,0.8507144
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,39,1.9283574,15.974356,2.803282094001769,0.7222197,0.9227794
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,40,3.6460266,37.655376,4.802370262145996,0.9155639,1.3567337
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,40,2.1327267,12.598816,4.461294746398921,0.8824185,0.8434334
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,41,1.781538,9.34523,4.692096018791179,0.82065785,0.77302593
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,41,1.7107936,9.766189,4.2971306800842255,0.7673719,0.7840337
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,42,3.0887966,31.471952,3.1961801528930662,0.7841255,1.2711889
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,42,4.1757174,36.87668,5.759930467605576,0.97307855,1.4519131
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,43,2.696816,20.51401,4.725059366226194,0.9341164,1.0450944
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,43,3.8498054,34.98558,5.147898197174067,0.94664437,1.3734189
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,44,1.8420731,13.872566,3.0591926574706987,0.73099256,0.88977206
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,44,2.1539721,18.969538,3.626350784301753,0.74920154,0.98342955
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,45,3.0258875,27.722061,4.18091602325439,0.81345505,1.2442949
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,45,2.2014759,16.88235,4.221287107467648,0.79426163,0.96340376
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,46,2.5833545,24.447071,3.8375733613967875,0.7961665,1.0913023
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,46,1.924817,13.322108,3.3376300096511837,0.7625583,0.9079373
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,47,2.5366833,20.935188,4.643889713287351,0.81321627,1.0754694
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,47,3.2726235,28.49995,5.6557247161865165,0.8941652,1.2423334
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,48,2.321704,22.08275,3.1751765966415397,0.7473322,1.0669563
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,48,2.1958835,19.594633,3.499524617195114,0.7584571,0.9827831
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,49,2.1726522,19.061747,3.2790903091430628,0.72661835,1.0019115
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,49,1.6754726,10.174302,4.63270773887634,0.7791909,0.76256204
True,13275,13275,13456,13531,100,25,3.5714285714285716,3,0,1.6385393,6.6988573,4.25238914489746,0.7640057,0.7582272
False,6250,9820,6325,10023,100,25,3.5714285714285716,3,0,1.6956072,13.643308,3.2380047559738134,0.71436006,0.83215785
True,13275,13275,13456,13531,100,25,3.5714285714285716,3,1,2.632815,20.470497,5.110520648956299,0.89685196,1.048515
False,6250,9820,6325,10023,100,25,3.5714285714285716,3,1,2.433932,19.662928,4.789745855331421,0.8242805,0.99483955
True,13275,13275,13456,13531,100,25,3.5714285714285716,3,2,1.6781871,7.192588,3.86479890346527,0.80892575,0.7493257
False,6250,9820,6325,10023,100,25,3.5714285714285716,3,2,2.8119297,24.550226,4.463495492935179,0.840201,1.1471951
True,13275,13275,13456,13531,100,25,3.5714285714285716,3,3,1.987048,11.360377,5.018648052215576,0.8463678,0.80498725
False,6250,9820,6325,10023,100,25,3.5714285714285716,3,3,2.1000319,14.966855,4.350835609436028,0.7866548,0.9328974
True,13275,13275,13456,13531,100,25,3.5714285714285716,3,4,1.3914837,6.3663106,3.9570258378982532,0.76685476,0.62061495
False,6250,9820,6325,10023,100,25,3.5714285714285716,3,4,3.4653494,33.154022,5.287256908416745,0.9354847,1.2841612
True,13275,13275,13456,13531,100,25,3.5714285714285716,3,5,2.175354,14.047517,5.23245673179626,0.8575305,0.90685785
False,6250,9820,6325,10023,100,25,3.5714285714285716,3,5,2.0301938,19.275633,3.233472919464109,0.7018414,0.9809507
True,13275,13275,13456,13531,100,25,3.5714285714285716,3,6,1.7220362,6.505948,4.456510066986082,0.8242385,0.751574
False,6250,9820,6325,10023,100,25,3.5714285714285716,3,6,1.3902451,8.305542,3.9084708213806088,0.70049506,0.7082932
True,13275,13275,13456,13531,100,25,3.5714285714285716,3,7,1.5703623,5.084596,5.322898292541498,0.8194499,0.6872499
False,6250,9820,6325,10023,100,25,3.5714285714285716,3,7,1.898641,11.346587,4.190467905998221,0.7660812,0.8846892
True,13275,13275,13456,13531,100,25,3.5714285714285716,3,8,2.1502626,15.750563,3.839705157279968,0.8370856,0.91150546
False,6250,9820,6325,10023,100,25,3.5714285714285716,3,8,2.9011836,29.304245,3.533040690422052,0.7558661,1.2324188
True,13275,13275,13456,13531,100,25,3.5714285714285716,3,9,1.9958714,12.440944,4.482659673690795,0.83858484,0.8533411
