symmetric,input_dim,latent_dim,ratio,hidden_layers,seed,mse_mean,mse_std,mse_p95,mae_mean,mae_std
True,256,4,64.0,2,22,21.537848,33.416996,73.10367851257321,3.3799653,2.183145
False,256,4,64.0,2,22,21.0825,51.895805,47.92917594909663,3.147799,2.4704876
True,256,4,64.0,2,23,16.09266,20.87427,53.7247800827026,3.0058331,1.7406178
False,256,4,64.0,2,23,22.935972,64.373985,55.20823116302484,3.1261945,2.759389
True,256,4,64.0,2,24,33.727562,42.698032,99.17697257995603,4.2923846,2.6408067
False,256,4,64.0,2,24,43.426773,191.78305,87.5994388580322,3.7980676,4.344727
True,256,4,64.0,2,25,18.536379,38.60626,54.583128356933585,3.0064135,2.2853687
False,256,4,64.0,2,25,25.938633,73.53714,60.11362762451163,3.2667255,3.0404608
True,256,4,64.0,2,26,18.530828,38.28341,56.19544467926022,3.1066117,2.075946
False,256,4,64.0,2,26,45.145164,185.12871,81.45230064392088,4.0280414,4.3218617
True,256,4,64.0,2,27,17.599806,25.399218,57.319299125671385,3.0803857,1.920794
False,256,4,64.0,2,27,30.044853,73.92416,88.63271484374991,3.6760614,3.0818365
True,256,4,64.0,2,28,26.63701,54.342197,72.71731872558586,3.636024,2.656855
False,256,4,64.0,2,28,59.96711,283.53348,129.2473403930662,4.5606213,5.0888414
True,256,4,64.0,2,29,15.350085,20.414164,47.83189258575438,2.9661148,1.668127
False,256,4,64.0,2,29,27.829496,76.45886,71.10119895935051,3.412298,3.0964086
True,256,4,64.0,2,30,14.170817,15.022662,44.32659130096433,2.8479419,1.5496317
False,256,4,64.0,2,30,48.028786,181.09108,84.8909389495849,4.029697,4.5538445
True,256,4,64.0,2,31,18.300446,43.69776,48.57908992767329,3.0352874,2.1693008
False,256,4,64.0,2,31,24.838953,66.447395,57.553196334838816,3.3363328,2.84513
True,256,4,64.0,2,32,15.054094,18.068651,50.554417800903316,2.8831363,1.5988073
False,256,4,64.0,2,32,35.407303,133.83325,60.03693504333493,3.5943155,3.7219012
True,256,4,64.0,2,33,14.932107,16.07622,52.46925392150875,2.9290688,1.5640385
False,256,4,64.0,2,33,28.920267,87.46544,59.17155704498288,3.3821857,3.2424233
True,256,4,64.0,2,34,28.056995,88.36805,65.76968727111812,3.3655834,3.150743
False,256,4,64.0,2,34,27.97481,93.35277,59.7128303527832,3.2808907,3.2658508
True,256,4,64.0,2,35,24.887714,62.460846,57.04074630737299,3.545827,2.5261347
False,256,4,64.0,2,35,30.538027,89.4858,66.22235641479489,3.7499359,3.1179411
True,256,4,64.0,2,36,17.092804,24.999483,60.32182464599596,2.9995048,1.9205312
False,256,4,64.0,2,36,24.950682,57.744312,75.50171699523919,3.4033458,2.6733394
True,256,4,64.0,2,37,18.930016,58.225254,53.92496852874753,2.9310148,2.4133942
False,256,4,64.0,2,37,34.24933,123.3241,67.10163326263422,3.536267,3.6975875
True,256,4,64.0,2,38,39.073082,111.31249,76.57711639404296,4.114865,3.587973
False,256,4,64.0,2,38,23.352808,63.565525,63.9442760467528,3.2168005,2.720854
