method,window,ratio,compressed_bits,mse,mae,input_dim
gorilla,91,1.0349968414403032,7915,0.0,0.0,256
gorilla,92,0.9695821990768139,8449,0.0,0.0,256
gorilla,93,1.1953888807821391,6853,0.0,0.0,256
gorilla,94,0.9877019532191946,8294,0.0,0.0,256
gorilla,95,1.2346646571213262,6635,0.0,0.0,256
gorilla,96,1.2011730205278592,6820,0.0,0.0,256
gorilla,97,1.0790305584826132,7592,0.0,0.0,256
gorilla,98,1.0127333415749784,8089,0.0,0.0,256
gorilla,99,1.0049067713444553,8152,0.0,0.0,256
gorilla,100,1.2427184466019416,6592,0.0,0.0,256
gorilla,101,1.2004689331770222,6824,0.0,0.0,256
gorilla,0,1.241776565105351,13194,0.0,0.0,512
gorilla,1,1.2043516612760952,13604,0.0,0.0,512
gorilla,2,1.2241482367005379,13384,0.0,0.0,512
gorilla,3,0.9611075262509532,17047,0.0,0.0,512
gorilla,4,0.9722865111862797,16851,0.0,0.0,512
gorilla,5,1.1970482940016074,13687,0.0,0.0,512
gorilla,6,0.9803733843944471,16712,0.0,0.0,512
gorilla,7,1.0665972267430506,15361,0.0,0.0,512
gorilla,8,0.9647862442586268,16982,0.0,0.0,512
gorilla,9,1.0087427656692525,16242,0.0,0.0,512
gorilla,10,1.2477343690503389,13131,0.0,0.0,512
gorilla,11,0.9627453284757316,17018,0.0,0.0,512
gorilla,12,1.0866162621037272,15078,0.0,0.0,512
gorilla,13,0.996169514197118,16447,0.0,0.0,512
gorilla,14,1.2431899233629258,13179,0.0,0.0,512
gorilla,15,1.1936470931079703,13726,0.0,0.0,512
gorilla,16,0.9984764458528856,16409,0.0,0.0,512
gorilla,17,1.132430190765828,14468,0.0,0.0,512
gorilla,18,1.2270820850808868,13352,0.0,0.0,512
gorilla,19,1.0136104924523632,16164,0.0,0.0,512
gorilla,20,0.9821364344802781,16682,0.0,0.0,512
gorilla,21,0.9620104515295638,17031,0.0,0.0,512
gorilla,22,1.2080814039227252,13562,0.0,0.0,512
gorilla,23,0.9644454909347775,16988,0.0,0.0,512
gorilla,24,1.0044139283962727,16312,0.0,0.0,512
gorilla,25,0.9978683232840002,16419,0.0,0.0,512
gorilla,26,1.2476393542491624,13132,0.0,0.0,512
gorilla,27,0.9587453917724852,17089,0.0,0.0,512
gorilla,28,1.029339699692153,15917,0.0,0.0,512
gorilla,29,1.2439450307493736,13171,0.0,0.0,512
gorilla,30,0.9770409684536944,16769,0.0,0.0,512
gorilla,31,1.0144263513095164,16151,0.0,0.0,512
gorilla,32,1.2150697122515575,13484,0.0,0.0,512
gorilla,33,1.0156211257128689,16132,0.0,0.0,512
gorilla,34,1.0019569471624266,16352,0.0,0.0,512
gorilla,35,1.2176885916016351,13455,0.0,0.0,512
gorilla,36,0.9994509851765998,16393,0.0,0.0,512
gorilla,37,1.0334952374944806,15853,0.0,0.0,512
gorilla,38,0.962179938924125,17028,0.0,0.0,512
gorilla,39,0.9608257095941825,17052,0.0,0.0,512
gorilla,40,1.1912171004798604,13754,0.0,0.0,512
gorilla,41,1.0278544542032622,15940,0.0,0.0,512
gorilla,42,0.9767497317276738,16774,0.0,0.0,512
gorilla,43,1.1902651652742462,13765,0.0,0.0,512
gorilla,44,1.1973982313820069,13683,0.0,0.0,512
gorilla,45,0.9931502697460144,16497,0.0,0.0,512
gorilla,46,0.9580166062448836,17102,0.0,0.0,512
gorilla,47,1.2195013025679196,13435,0.0,0.0,512
gorilla,48,1.088782562466773,15048,0.0,0.0,512
gorilla,49,0.9660946989798926,16959,0.0,0.0,512
gorilla,50,1.2041746288402175,13606,0.0,0.0,512
gorilla,0,0.9565344309192282,34257,0.0,0.0,1024
gorilla,1,1.2003809802915963,27298,0.0,0.0,1024
gorilla,2,1.2198644925917652,26862,0.0,0.0,1024
gorilla,3,1.2046615933237748,27201,0.0,0.0,1024
gorilla,4,1.0784268553562613,30385,0.0,0.0,1024
gorilla,5,0.9752671210452692,33599,0.0,0.0,1024
gorilla,6,1.1927781013395458,27472,0.0,0.0,1024
gorilla,7,0.9619822094354579,34063,0.0,0.0,1024
gorilla,8,1.207814227792112,27130,0.0,0.0,1024
gorilla,9,1.2256592481765476,26735,0.0,0.0,1024
gorilla,10,0.9608538838225376,34103,0.0,0.0,1024
gorilla,11,1.2090174519425894,27103,0.0,0.0,1024
gorilla,12,0.9846449713032243,33279,0.0,0.0,1024
gorilla,13,1.0040446133104548,32636,0.0,0.0,1024
gorilla,14,0.9753542088343851,33596,0.0,0.0,1024
gorilla,15,1.0197298811227984,32134,0.0,0.0,1024
gorilla,16,0.9632830643501779,34017,0.0,0.0,1024
gorilla,17,0.9626321974148061,34040,0.0,0.0,1024
gorilla,18,1.1944738089162688,27433,0.0,0.0,1024
gorilla,19,0.980872272278265,33407,0.0,0.0,1024
gorilla,20,1.0387370823559248,31546,0.0,0.0,1024
gorilla,21,1.008091062913398,32505,0.0,0.0,1024
gorilla,22,0.9894616058217833,33117,0.0,0.0,1024
gorilla,23,0.9609102372364446,34101,0.0,0.0,1024
gorilla,24,0.9935417361511173,32981,0.0,0.0,1024
